# Typekit class table
# format: <PS family name>,<class index> (with no whitespace)
# TK_BLACKLETTER,0
# TK_DECORATIVE,1
# TK_HANDMADE,2
# TK_MONOSPACE,3
# TK_SANS_SERIF,4
# TK_SCRIPT,5
# TK_SERIF,6
# TK_SLAB_SERIF,7
!Paul Maul,2
-,5
.\007F,4
1942 report,1
20 db,4
2Dumb,1
3Dumb,1
ABeeZee,4
ARSMaquetteWebOne,4
AW Conqueror Carved,1
AW Conqueror Carved Four,1
AW Conqueror Carved One,1
AW Conqueror Carved Two,1
AW Conqueror Didot Light,6
AW Conqueror Inline,1
AW Conqueror Sans Light,4
AW Conqueror Slab,7
Aaargh,4
Aachen Std,6
Aaux Next,4
Abadi MT Condensed Extra Bold,4
Abadi MT Condensed Light,4
Abel,4
Abigail,1
Abril Display,6
Abril Display BL,6
Abril Display EB,6
Abril Display SB,6
Abril Fatface,6
Abril Text,7
Abril Text Regular,7
Abril Titling,7
Abril Titling Condensed,7
Abril Titling Narrow,7
Abril Titling SemiCondensed,7
Acknowledgement,7
Aclonica,4
Acme,4
Acta Display Black,6
Acta Display Bold,6
Acta Display Book,6
Acta Display ExtraBold,6
Acta Display Light,6
Acta Display Medium,6
Acta Poster Italic,6
Acta Poster Regular,6
Acta Poster Swashes,1
Action Man,2
Action Man Extended,2
Action Man Shaded,2
Actor,4
Acuta Black,6
Acuta Bold,6
Acuta Book,6
Acuta Fat,6
Acuta Light,6
Acuta Medium,6
Acuta Thin,6
AdageScriptJF,5
Adamina,6
AdaptiveMono OT Bold,3
AdaptiveMono OT BoldOblique,3
AdaptiveMono OT Oblique,3
AdaptiveMono OT Regular,3
Adelle Basic Th,7
Adelle Condensed,7
Adelle Lt,7
Adelle PE,7
Adelle SB,7
Adelle Sans,4
Adelle Sans Eb,4
Adelle Sans Hv,4
Adelle Sans Lt,4
Adelle Sans Sb,4
Adelle Sans Th,4
Adelle Web EB,7
Adelle Web Hv,7
Adelle Web Regular,7
Adhesive Nr. Seven,1
Adobe Arabic,6
Adobe Caslon Pro,6
Adobe Clean,4
Adobe Devanagari,6
Adobe Fan Heiti Std,4
Adobe Fangsong Std,6
Adobe Garamond Pro,6
Adobe Gothic Std,4
Adobe Gurmukhi,6
Adobe Hebrew,6
Adobe Heiti Std,4
Adobe Jenson Pro,6
Adobe Jenson Pro Capt,6
Adobe Jenson Pro Disp,6
Adobe Jenson Pro Lt,6
Adobe Jenson Pro Lt Capt,6
Adobe Jenson Pro Lt Disp,6
Adobe Jenson Pro Lt Subh,6
Adobe Jenson Pro Subh,6
Adobe Kaiti Std,6
Adobe Ming Std,6
Adobe Myungjo Std,6
Adobe Naskh,6
Adobe Pi Std,4
Adobe Song Std,6
Adobe Text Pro,6
Adobe Text Pro Semibold,6
Adobe Thai,6
Adobe Wood Type Ornaments Std,1
Adonis,6
Adriane Text,6
Adrianna Condensed,4
Adrianna Condensed Lt,4
Adrianna Condensed Xb,4
Adrianna Extended Lt,4
Adrianna Extended Rg,4
Adrianna Extended Xb,4
Adrianna Lt,4
Adrianna Rg,4
Adrianna Xb,4
Advent Pro,4
Afta sans,4
Afta serif,6
After Shok,1
Aguafina Script,5
Aierbazzi,1
Airstream,1
Akagi Pro,4
Akronim,1
Aktiv Grotesk,4
Aladin,1
Alber New Lt,4
Alber New Rg,4
Albertus MT Std,6
Aldrich,1
Aldus LT Std,6
Alef,4
Alegreya,6
Alegreya SC,6
Alegreya SC Black,6
Alegreya Sans,4
Alegreya Sans SC,4
Aleo,7
Alex Brush,5
Alexa Std,5
Alfa Slab One,7
Alice,6
Alike,6
Alike Angular,6
Alize,5
Allan,5
Aller,4
Aller Display,4
Allerta,4
Allerta Stencil,1
Allumi Std,4
Allumi Std Black,4
Allumi Std Book,4
Allumi Std Extended,4
Allumi Std Extended Black,4
Allumi Std Extended Book,4
Allumi Std Extended ExtraLight,4
Allumi Std Extended Heavy,4
Allumi Std Extended Light,4
Allumi Std ExtraLight,4
Allumi Std Heavy,4
Allumi Std Light,4
AllumiStd,4
Allura,5
Almaq,4
Almendra,1
Almendra Display,5
Almendra SC,6
Alpha Echo,1
Alphatier Pro,1
Alphatier Pro Light,1
AltaCalifornia,1
Alternate Gothic No1 D,4
Alternate Gothic No2 D,4
Alternate Gothic No3 D,4
AlternateGotNo1D,4
